name,id,popularity,followers,genres,spotify_url
Marino Canal,6qdVbTc8Uvy0VJyDZbYTd8,45,31416,"melodic techno, melodic house, techno",https://open.spotify.com/artist/6qdVbTc8Uvy0VJyDZbYTd8
Carmen Electro,3E4lvejBymu2NUcGjqLa6e,0,24,,https://open.spotify.com/artist/3E4lvejBymu2NUcGjqLa6e
Héctor Oaks,2FZAQdFEANNv5Gi29PI10x,37,43136,"techno, acid techno, hard techno",https://open.spotify.com/artist/2FZAQdFEANNv5Gi29PI10x
Not a headliner,4jWRXy7Z5ORXyhpjavyHDQ,12,1540,,https://open.spotify.com/artist/4jWRXy7Z5ORXyhpjavyHDQ
P.E.A.R.L.,1s7S35l63ARpog9NZrU4tB,19,8307,"techno, acid techno",https://open.spotify.com/artist/1s7S35l63ARpog9NZrU4tB
Dart,6osq4qbA2enSjbGxYviPgj,37,4442,hard house,https://open.spotify.com/artist/6osq4qbA2enSjbGxYviPgj
Emilija,5Yg2ZMGPDP0QLT5KPtBrkB,25,2440,,https://open.spotify.com/artist/5Yg2ZMGPDP0QLT5KPtBrkB
Jasper Tygner,2D7akgJBXcsp8Y2FKdPJCh,45,25832,"stutter house, lo-fi house",https://open.spotify.com/artist/2D7akgJBXcsp8Y2FKdPJCh
Mano Le Tough,04KmByEP6icXVY0PvJaMMp,40,82050,melodic techno,https://open.spotify.com/artist/04KmByEP6icXVY0PvJaMMp
Rozie,6hIUgEtBTZMmWTov4prByA,4,147,"hard house, eurodance",https://open.spotify.com/artist/6hIUgEtBTZMmWTov4prByA
Weval,12tZvy2xFpWSkuJ3FsfisZ,50,192832,,https://open.spotify.com/artist/12tZvy2xFpWSkuJ3FsfisZ
Mareena,1CryrWkZNf7uK8riKHTa6s,7,470,ambient,https://open.spotify.com/artist/1CryrWkZNf7uK8riKHTa6s
MZR,3gJo3XuIrVMRz9ydjmZwlB,9,438,,https://open.spotify.com/artist/3gJo3XuIrVMRz9ydjmZwlB
Speedy J,4zOEbGsiNi7qGWdyDv43gx,33,24348,idm,https://open.spotify.com/artist/4zOEbGsiNi7qGWdyDv43gx
Gerd Janson,4jLpm91Tyk2TRgv43bMfZO,43,37949,"disco house, indie dance, nu disco",https://open.spotify.com/artist/4jLpm91Tyk2TRgv43bMfZO
HAAi,0pkLgeB9j465x1QB2kRoy4,49,55558,,https://open.spotify.com/artist/0pkLgeB9j465x1QB2kRoy4
Konstantin Sibold,5Ls75umF4lBOQVp3pJAlbW,47,27126,"melodic techno, melodic house, techno",https://open.spotify.com/artist/5Ls75umF4lBOQVp3pJAlbW
Kyle Starkey,1crvHImsszKXTJr4wsOPhe,41,5289,"hard house, eurodance, trance",https://open.spotify.com/artist/1crvHImsszKXTJr4wsOPhe
Lin Cortés,3SBsCnbQ5q8bOW0uBcwG54,46,46893,"flamenco, flamenco pop, flamenco urbano",https://open.spotify.com/artist/3SBsCnbQ5q8bOW0uBcwG54
Spacer Woman,67FhwI60e0eCfogunrIi71,16,594,hard house,https://open.spotify.com/artist/67FhwI60e0eCfogunrIi71
Valeby,4NkpYofLN6Ui2uuGCVMRWb,4,114,hard house,https://open.spotify.com/artist/4NkpYofLN6Ui2uuGCVMRWb
